CATEGORY ,,ITEM NAME,,
PACKAGING,001 PACKAGING,12oz Iced Dabba Cup,,0
PACKAGING,001 PACKAGING,16oz Iced Dabba Cup,,0
PACKAGING,001 PACKAGING,12oz Paper Cup,,0
PACKAGING,001 PACKAGING,16oz Paper Cup,,0
PACKAGING,001 PACKAGING,Dagel Box of 3,,0
PACKAGING,001 PACKAGING,Rice Straw,,1
PACKAGING,001 PACKAGING,Delivery | Rice Straw,,3
PACKAGING,001 PACKAGING,Delivery | Egg Carrier,,0
PACKAGING,001 PACKAGING,Delivery | Paper Bag - Egg Tray,,5
ADD-ONS,01 ADD ONS,ADD ONS MISC,Cereal Crunch,30
ADD-ONS,01 ADD ONS,ADD ONS MISC,Coconut Water,45
ADD-ONS,01 ADD ONS,ADD ONS MISC,Espresso Shot,40
ADD-ONS,01 ADD ONS,ADD ONS MISC,Matcha Powder,35
ADD-ONS,01 ADD ONS,ADD ONS MISC,Hojicha Powder,40
ADD-ONS,01 ADD ONS,ADD ONS MISC,Water Bottle,40
ADD-ONS,01 ADD ONS,ADD ONS MISC,Whey Protein,45
ADD-ONS,01 ADD ONS,ADD ONS MILK,Almond Milk,45
ADD-ONS,01 ADD ONS,ADD ONS MILK,Dehusk Coconut Milk,30
ADD-ONS,01 ADD ONS,ADD ONS MILK,Oat Milk,45
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Burnt Vanilla Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Butterscotch Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Brown Sugar Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Caramelized Banana Syrup,40
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,French Vanilla Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Honey Syrup,35
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Peanut Butter Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Salted Caramel Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Signature Mocha Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Sugar Syrup,0
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Spanish Latte Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,Strawberry Puree,40
ADD-ONS,01 ADD ONS,ADD ONS SYRUPS,White Chocolate Mocha Syrup,30
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Chocolate Foam,40
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Black Sesame Cold Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Hojicha Cold Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Matcha Cream Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Rock Salt Cheese Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Salted Caramel Foam,40
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Salted Cream Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Strawberry Cream Foam,50
ADD-ONS,01 ADD ONS,ADD ONS FOAM,Vanilla Foam,40
ICED,02 DOT CLASSICS,Americano,Iced Regular (12oz),110
ICED,02 DOT CLASSICS,Americano,Iced Large (16oz),120
HOT,02 DOT CLASSICS,Americano,Hot Regular (12oz),110
HOT,02 DOT CLASSICS,Americano,Hot Large (16oz),120
ICED,02 DOT CLASSICS,Burnt Vanilla,Iced Regular (12oz),160
ICED,02 DOT CLASSICS,Burnt Vanilla,Iced Large (16oz),170
HOT,02 DOT CLASSICS,Burnt Vanilla,Hot Regular (12oz),160
HOT,02 DOT CLASSICS,Burnt Vanilla,Hot Large (16oz),170
ICED,02 DOT CLASSICS,Butterscotch,Iced Regular (12oz),150
ICED,02 DOT CLASSICS,Butterscotch,Iced Large (16oz),160
HOT,02 DOT CLASSICS,Butterscotch,Hot Regular (12oz),150
HOT,02 DOT CLASSICS,Butterscotch,Hot Large (16oz),160
ICED,02 DOT CLASSICS,Cold Brew,Iced Regular (12oz),120
ICED,02 DOT CLASSICS,Cold Brew,Iced Large (16oz),130
ICED,02 DOT CLASSICS,Dirty Matcha,Iced Regular (12oz),180
ICED,02 DOT CLASSICS,Dirty Matcha,Iced Large (16oz),190
HOT,02 DOT CLASSICS,Dirty Matcha,Hot Regular (12oz),180
HOT,02 DOT CLASSICS,Dirty Matcha,Hot Large (16oz),190
ICED,02 DOT CLASSICS,Latte,Iced Regular (12oz),130
ICED,02 DOT CLASSICS,Latte,Iced Large (16oz),140
HOT,02 DOT CLASSICS,Latte,Hot Regular (12oz),130
HOT,02 DOT CLASSICS,Latte,Hot Large (16oz),140
ICED,02 DOT CLASSICS,Matcha,Iced Regular (12oz),160
ICED,02 DOT CLASSICS,Matcha,Iced Large (16oz),170
HOT,02 DOT CLASSICS,Matcha,Hot Regular (12oz),160
HOT,02 DOT CLASSICS,Matcha,Hot Large (16oz),170
ICED,02 DOT CLASSICS,Salted Caramel,Iced Regular (12oz),150
ICED,02 DOT CLASSICS,Salted Caramel,Iced Large (16oz),160
HOT,02 DOT CLASSICS,Salted Caramel,Hot Regular (12oz),150
HOT,02 DOT CLASSICS,Salted Caramel,Hot Large (16oz),160
ICED,02 DOT CLASSICS,Signature Mocha,Iced Regular (12oz),150
ICED,02 DOT CLASSICS,Signature Mocha,Iced Large (16oz),160
HOT,02 DOT CLASSICS,Signature Mocha,Hot Regular (12oz),150
HOT,02 DOT CLASSICS,Signature Mocha,Hot Large (16oz),160
ICED,02 DOT CLASSICS,Spanish Latte,Iced Regular (12oz),150
ICED,02 DOT CLASSICS,Spanish Latte,Iced Large (16oz),160
HOT,02 DOT CLASSICS,Spanish Latte,Hot Regular (12oz),150
HOT,02 DOT CLASSICS,Spanish Latte,Hot Large (16oz),160
ICED,02 DOT CLASSICS,White Chocolate Mocha,Iced Regular (12oz),150
ICED,02 DOT CLASSICS,White Chocolate Mocha,Iced Large (16oz),160
HOT,02 DOT CLASSICS,White Chocolate Mocha,Hot Regular (12oz),150
HOT,02 DOT CLASSICS,White Chocolate Mocha,Hot Large (16oz),160
ICED,03 DOT SIGNATURES,Black Sesame Hojicha Latte,Iced Regular (12oz),220
ICED,03 DOT SIGNATURES,Black Sesame Hojicha Latte,Iced Large (16oz),230
ICED,03 DOT SIGNATURES,Caramelized Banana Hojicha Latte,Iced Regular (12oz),190
ICED,03 DOT SIGNATURES,Caramelized Banana Hojicha Latte,Iced Large (16oz),200
ICED,03 DOT SIGNATURES,Cereal Milk,Iced Regular (12oz),150
ICED,03 DOT SIGNATURES,Cereal Milk,Iced Large (16oz),160
ICED,03 DOT SIGNATURES,Chocolate Milk,Iced Regular (12oz),130
ICED,03 DOT SIGNATURES,Chocolate Milk,Iced Large (16oz),140
HOT,03 DOT SIGNATURES,Chocolate Milk,Hot Regular 12oz.,130
HOT,03 DOT SIGNATURES,Chocolate Milk,Hot Large 16oz.,140
ICED,03 DOT SIGNATURES,Coco Americano,Iced Regular (12oz),160
ICED,03 DOT SIGNATURES,Coco Americano,Iced Large (16oz),170
ICED,03 DOT SIGNATURES,CocoChata,Iced Regular (12oz),185
ICED,03 DOT SIGNATURES,CocoChata,Iced Large (16oz),195
ICED,03 DOT SIGNATURES,Coconut Cream Cold Brew,Iced Regular (12oz),185
ICED,03 DOT SIGNATURES,Coconut Cream Cold Brew,Iced Large (16oz),195
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Regular (12oz) l Dairy,200
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Regular (12oz) l Almond,200
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Regular (12oz) l Oat,200
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Large (16oz) l Dairy,210
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Large (16oz) l Almond,210
ICED,03 DOT SIGNATURES,Cookie Butter Oat Latte,Iced Large (16oz) l Oat,210
ICED,03 DOT SIGNATURES,Creamy Coco Hojicha,Iced Regular (12oz),190
ICED,03 DOT SIGNATURES,Creamy Coco Hojicha,Iced Large (16oz),200
ICED,03 DOT SIGNATURES,Creamy Coco Matcha,Iced Regular (12oz),190
ICED,03 DOT SIGNATURES,Creamy Coco Matcha,Iced Large (16oz),200
ICED,03 DOT SIGNATURES,Dirty Cereal,Iced Regular (12oz),180
ICED,03 DOT SIGNATURES,Dirty Cereal,Iced Large (16oz),190
ICED,03 DOT SIGNATURES,Dirty Coco,Iced Regular (12oz),170
ICED,03 DOT SIGNATURES,Dirty Coco,Iced Large (16oz),180
ICED,03 DOT SIGNATURES,Dirty Horchata,Iced Regular (12oz) l Dairy,170
